name	college
U2959	texas a&amp;m university
U5977	university of illinois at urbana-champaign
U2112	baylor university
U8068	logan college of chiropractic
U12503	massachusetts institute of technology
U2110	university of florida
U2180	university of illinois at urbana-champaign
U2124	university of illinois at urbana-champaign
U12465	sam houston state university
U12465	blinn college
U2177	university of illinois at urbana-champaign
U8003	illinois state university
U12472	texas a&amp;m university
U2889	texas a&amp;m university - mays business school
U12471	west virginia wesleyan college
U2102	university of illinois
U2102	benedictine university
U14543	nova southeastern university
U12475	universit&#xe0; degli studi di milano-bicocca
U2884	texas a&amp;m university
U21824	university of illinois at urbana-champaign
U2961	san diego christian college el cajon
U21831	queen's university
U12509	texas a&amp;m university college
U12509	university of lagos nigeria
U14576	school of art institute of chicago
U2917	texas a&amp;m university
U7976	eastern illinois university
U12466	auburn university
U14520	cardinal stritch university
U14520	rock valley college
U14559	illinois state university (state farm hall of business)
U14559	tecnol&#xf3;gico de monterrey
U12512	howard payne university
U21862	university of illinois at urbana-champaign
U2904	texas a&amp;m university
U12496	university of florida
U14526	abilene christian university
U12486	texas a&amp;m university
U2907	southern methodist university - cox school of business
U7989	southern illinois university carbondale
U21934	northwest missouri state university
U2902	bryan college
U10076	university of illinois at urbana-champaign
U12474	texas a&amp;m university - mays business school
U2101	purdue university
U21847	prescott college
U2981	texas a&amp;m university
U12508	texas a&amp;m university
U14546	illinois state university
U2888	university of texas at arlington
U2964	texas a&amp;m university
U2923	texas a&amp;m university
U14548	university of colorado health sciences center
U14548	emory university
U14517	eastern illinois university
U21954	university of california
U21839	eureka college
U8070	greenville college
U14555	illinois state university
U2170	university of illinois at urbana-champaign
