,nb_children,nb_adults,type,size
0,2,2,two_parent_family,4
1,1,2,two_parent_family,3
2,0,3,two_parent_family,3
3,2,2,two_parent_family,4
4,2,2,two_parent_family,4
5,0,3,two_parent_family,3
6,0,3,two_parent_family,3
7,1,2,two_parent_family,3
8,1,2,two_parent_family,3
9,2,2,two_parent_family,4
10,4,2,two_parent_family,6
11,4,2,two_parent_family,6
12,0,3,two_parent_family,3
13,2,2,two_parent_family,4
14,2,2,two_parent_family,4
15,3,3,two_parent_family,6
16,0,3,two_parent_family,3
17,1,2,two_parent_family,3
18,1,2,two_parent_family,3
19,1,2,two_parent_family,3
20,3,2,two_parent_family,5
21,0,4,two_parent_family,4
22,4,2,two_parent_family,6
23,3,2,two_parent_family,5
24,0,3,two_parent_family,3
25,0,3,two_parent_family,3
26,2,2,two_parent_family,4
27,3,3,two_parent_family,6
28,1,2,two_parent_family,3
29,2,2,two_parent_family,4
30,1,3,two_parent_family,4
31,2,3,two_parent_family,5
32,0,3,two_parent_family,3
33,3,2,two_parent_family,5
34,0,5,two_parent_family,5
35,1,3,two_parent_family,4
36,1,2,two_parent_family,3
37,1,2,two_parent_family,3
38,2,2,two_parent_family,4
39,0,3,two_parent_family,3
40,0,3,two_parent_family,3
41,2,2,two_parent_family,4
42,1,2,two_parent_family,3
43,1,2,two_parent_family,3
44,0,4,two_parent_family,4
45,3,2,two_parent_family,5
46,1,2,two_parent_family,3
47,1,2,two_parent_family,3
48,5,2,two_parent_family,7
49,2,2,two_parent_family,4
50,1,2,two_parent_family,3
51,2,3,two_parent_family,5
52,0,3,two_parent_family,3
53,2,2,two_parent_family,4
54,1,2,two_parent_family,3
55,2,3,two_parent_family,5
56,1,2,two_parent_family,3
57,2,2,two_parent_family,4
58,2,2,two_parent_family,4
59,1,2,two_parent_family,3
60,2,2,two_parent_family,4
61,3,2,two_parent_family,5
62,0,3,two_parent_family,3
63,2,2,two_parent_family,4
64,1,2,two_parent_family,3
65,4,2,two_parent_family,6
66,1,2,two_parent_family,3
67,3,2,two_parent_family,5
68,1,2,two_parent_family,3
69,1,2,two_parent_family,3
70,0,4,two_parent_family,4
71,3,2,two_parent_family,5
72,2,2,two_parent_family,4
73,1,2,two_parent_family,3
74,2,2,two_parent_family,4
75,1,2,two_parent_family,3
76,7,2,two_parent_family,9
77,0,7,two_parent_family,7
78,0,3,two_parent_family,3
79,0,4,two_parent_family,4
80,1,2,two_parent_family,3
81,4,3,two_parent_family,7
82,1,2,two_parent_family,3
83,2,2,two_parent_family,4
84,2,2,two_parent_family,4
85,1,2,two_parent_family,3
86,3,2,two_parent_family,5
87,3,2,two_parent_family,5
88,1,3,two_parent_family,4
89,1,3,two_parent_family,4
90,3,2,two_parent_family,5
91,3,3,two_parent_family,6
92,1,3,two_parent_family,4
93,5,2,two_parent_family,7
94,1,2,two_parent_family,3
95,1,2,two_parent_family,3
96,1,2,two_parent_family,3
97,1,2,two_parent_family,3
98,3,2,two_parent_family,5
99,1,2,two_parent_family,3
100,1,2,two_parent_family,3
101,1,2,two_parent_family,3
102,1,2,two_parent_family,3
103,2,2,two_parent_family,4
104,1,2,two_parent_family,3
105,1,2,two_parent_family,3
106,0,3,two_parent_family,3
107,0,3,two_parent_family,3
108,1,2,two_parent_family,3
109,1,2,two_parent_family,3
110,1,2,two_parent_family,3
111,1,2,two_parent_family,3
112,2,2,two_parent_family,4
113,1,2,two_parent_family,3
114,0,3,two_parent_family,3
115,0,3,two_parent_family,3
116,0,6,two_parent_family,6
117,0,3,two_parent_family,3
118,0,3,two_parent_family,3
119,1,2,two_parent_family,3
120,1,2,two_parent_family,3
121,1,2,two_parent_family,3
122,1,2,two_parent_family,3
123,2,2,two_parent_family,4
124,0,3,two_parent_family,3
125,1,2,two_parent_family,3
126,1,2,two_parent_family,3
127,0,3,two_parent_family,3
128,3,2,two_parent_family,5
129,1,2,two_parent_family,3
130,1,2,two_parent_family,3
131,1,2,two_parent_family,3
132,4,2,two_parent_family,6
133,3,2,two_parent_family,5
134,2,2,two_parent_family,4
135,1,2,two_parent_family,3
136,1,2,two_parent_family,3
137,1,3,two_parent_family,4
138,0,3,two_parent_family,3
139,3,2,two_parent_family,5
140,1,2,two_parent_family,3
141,0,3,two_parent_family,3
142,3,3,two_parent_family,6
143,1,4,two_parent_family,5
144,1,3,two_parent_family,4
145,3,2,two_parent_family,5
146,1,2,two_parent_family,3
147,1,2,two_parent_family,3
148,0,6,two_parent_family,6
149,3,2,two_parent_family,5
150,1,2,two_parent_family,3
151,3,2,two_parent_family,5
152,3,2,two_parent_family,5
153,0,3,two_parent_family,3
154,1,2,two_parent_family,3
155,0,3,two_parent_family,3
156,0,3,two_parent_family,3
157,2,2,two_parent_family,4
158,1,2,two_parent_family,3
159,3,2,two_parent_family,5
160,2,2,two_parent_family,4
161,2,2,two_parent_family,4
162,0,3,two_parent_family,3
163,2,2,two_parent_family,4
164,2,2,two_parent_family,4
165,6,2,two_parent_family,8
166,1,2,two_parent_family,3
167,1,2,two_parent_family,3
168,0,3,two_parent_family,3
169,2,2,two_parent_family,4
170,1,3,two_parent_family,4
171,1,2,two_parent_family,3
172,1,2,two_parent_family,3
173,1,2,two_parent_family,3
174,1,2,two_parent_family,3
175,1,2,two_parent_family,3
176,1,2,two_parent_family,3
177,1,3,two_parent_family,4
178,2,2,two_parent_family,4
179,1,2,two_parent_family,3
180,1,3,two_parent_family,4
181,1,2,two_parent_family,3
182,1,2,two_parent_family,3
183,1,2,two_parent_family,3
184,1,3,two_parent_family,4
185,3,2,two_parent_family,5
186,0,4,two_parent_family,4
187,4,2,two_parent_family,6
188,0,5,two_parent_family,5
189,1,2,two_parent_family,3
190,1,2,two_parent_family,3
191,2,2,two_parent_family,4
192,3,2,two_parent_family,5
193,1,2,two_parent_family,3
194,0,3,two_parent_family,3
195,0,3,two_parent_family,3
196,1,2,two_parent_family,3
197,1,3,two_parent_family,4
198,1,2,two_parent_family,3
199,0,3,two_parent_family,3
200,2,2,two_parent_family,4
201,1,2,two_parent_family,3
202,1,2,two_parent_family,3
203,0,3,two_parent_family,3
204,1,2,two_parent_family,3
205,2,2,two_parent_family,4
206,1,2,two_parent_family,3
207,2,2,two_parent_family,4
208,0,3,two_parent_family,3
209,0,3,two_parent_family,3
210,1,3,two_parent_family,4
211,1,2,two_parent_family,3
212,1,2,two_parent_family,3
213,3,2,two_parent_family,5
214,1,2,two_parent_family,3
215,3,2,two_parent_family,5
216,2,2,two_parent_family,4
217,1,2,two_parent_family,3
218,0,4,two_parent_family,4
219,1,3,two_parent_family,4
220,0,3,two_parent_family,3
221,0,4,two_parent_family,4
222,2,2,two_parent_family,4
223,0,3,two_parent_family,3
224,1,2,two_parent_family,3
225,1,3,two_parent_family,4
226,0,4,two_parent_family,4
227,1,2,two_parent_family,3
228,2,2,two_parent_family,4
229,1,2,two_parent_family,3
230,7,2,two_parent_family,9
231,0,4,two_parent_family,4
232,2,2,two_parent_family,4
233,1,3,two_parent_family,4
234,2,2,two_parent_family,4
235,2,5,two_parent_family,7
236,0,4,two_parent_family,4
237,1,2,two_parent_family,3
238,1,2,two_parent_family,3
239,0,3,two_parent_family,3
240,1,2,two_parent_family,3
241,3,2,two_parent_family,5
242,2,2,two_parent_family,4
243,0,3,two_parent_family,3
244,1,2,two_parent_family,3
245,1,2,two_parent_family,3
246,2,2,two_parent_family,4
247,4,2,two_parent_family,6
248,1,2,two_parent_family,3
249,0,3,two_parent_family,3
250,1,2,two_parent_family,3
251,3,2,two_parent_family,5
252,0,3,two_parent_family,3
253,0,3,two_parent_family,3
254,4,2,two_parent_family,6
255,1,2,two_parent_family,3
256,2,2,two_parent_family,4
257,1,2,two_parent_family,3
258,1,2,two_parent_family,3
259,1,2,two_parent_family,3
260,1,2,two_parent_family,3
261,1,2,two_parent_family,3
262,0,3,two_parent_family,3
263,1,2,two_parent_family,3
264,1,2,two_parent_family,3
265,3,2,two_parent_family,5
266,0,3,two_parent_family,3
267,0,3,two_parent_family,3
268,1,2,two_parent_family,3
269,1,2,two_parent_family,3
270,1,2,two_parent_family,3
271,4,2,two_parent_family,6
272,2,2,two_parent_family,4
273,2,2,two_parent_family,4
274,2,2,two_parent_family,4
275,2,2,two_parent_family,4
276,0,3,two_parent_family,3
277,2,2,two_parent_family,4
278,2,3,two_parent_family,5
279,1,2,two_parent_family,3
280,1,2,two_parent_family,3
281,1,2,two_parent_family,3
282,2,2,two_parent_family,4
283,0,4,two_parent_family,4
284,2,2,two_parent_family,4
285,0,3,two_parent_family,3
286,0,3,two_parent_family,3
287,0,3,two_parent_family,3
288,1,2,two_parent_family,3
289,1,2,two_parent_family,3
290,0,4,two_parent_family,4
291,3,2,two_parent_family,5
292,1,2,two_parent_family,3
293,1,2,two_parent_family,3
294,1,2,two_parent_family,3
295,0,6,two_parent_family,6
296,1,2,two_parent_family,3
297,0,3,two_parent_family,3
298,1,2,two_parent_family,3
299,3,2,two_parent_family,5
300,0,3,two_parent_family,3
301,3,2,two_parent_family,5
302,2,2,two_parent_family,4
303,1,2,two_parent_family,3
304,5,2,two_parent_family,7
305,1,2,two_parent_family,3
306,4,5,two_parent_family,9
307,0,3,two_parent_family,3
308,0,4,two_parent_family,4
309,0,3,two_parent_family,3
310,2,2,two_parent_family,4
311,1,3,two_parent_family,4
312,2,2,two_parent_family,4
313,0,3,two_parent_family,3
314,0,3,two_parent_family,3
315,2,2,two_parent_family,4
316,1,2,two_parent_family,3
317,1,2,two_parent_family,3
318,2,3,two_parent_family,5
319,1,2,two_parent_family,3
320,4,2,two_parent_family,6
321,2,2,two_parent_family,4
322,2,2,two_parent_family,4
323,0,3,two_parent_family,3
324,1,2,two_parent_family,3
325,2,2,two_parent_family,4
326,1,2,two_parent_family,3
327,3,2,two_parent_family,5
328,3,2,two_parent_family,5
329,1,2,two_parent_family,3
330,1,4,two_parent_family,5
331,1,2,two_parent_family,3
332,1,2,two_parent_family,3
333,1,5,two_parent_family,6
334,3,2,two_parent_family,5
335,1,2,two_parent_family,3
336,0,3,two_parent_family,3
337,0,3,two_parent_family,3
338,2,2,two_parent_family,4
339,4,2,two_parent_family,6
340,0,3,two_parent_family,3
341,1,2,two_parent_family,3
342,1,2,two_parent_family,3
343,0,3,two_parent_family,3
344,2,2,two_parent_family,4
345,1,2,two_parent_family,3
346,1,3,two_parent_family,4
347,2,2,two_parent_family,4
348,1,2,two_parent_family,3
349,0,3,two_parent_family,3
350,1,2,two_parent_family,3
351,3,2,two_parent_family,5
352,2,2,two_parent_family,4
353,1,2,two_parent_family,3
354,1,2,two_parent_family,3
355,1,2,two_parent_family,3
356,0,5,two_parent_family,5
357,1,2,two_parent_family,3
358,0,5,two_parent_family,5
359,0,3,two_parent_family,3
360,0,4,two_parent_family,4
361,1,2,two_parent_family,3
362,1,2,two_parent_family,3
363,2,2,two_parent_family,4
364,1,4,two_parent_family,5
365,4,2,two_parent_family,6
366,1,2,two_parent_family,3
367,0,4,two_parent_family,4
368,1,2,two_parent_family,3
369,1,2,two_parent_family,3
370,4,2,two_parent_family,6
371,1,2,two_parent_family,3
372,2,2,two_parent_family,4
373,3,2,two_parent_family,5
374,1,2,two_parent_family,3
375,1,2,two_parent_family,3
376,7,2,two_parent_family,9
377,1,2,two_parent_family,3
378,0,4,two_parent_family,4
379,0,3,two_parent_family,3
380,1,2,two_parent_family,3
381,0,5,two_parent_family,5
382,1,2,two_parent_family,3
383,1,2,two_parent_family,3
384,1,2,two_parent_family,3
385,2,2,two_parent_family,4
386,3,2,two_parent_family,5
387,0,3,two_parent_family,3
388,3,4,two_parent_family,7
389,1,2,two_parent_family,3
390,2,2,two_parent_family,4
391,1,2,two_parent_family,3
392,0,3,two_parent_family,3
393,2,2,two_parent_family,4
394,2,2,two_parent_family,4
395,0,3,two_parent_family,3
396,0,3,two_parent_family,3
397,1,2,two_parent_family,3
398,2,2,two_parent_family,4
399,0,3,two_parent_family,3
400,1,2,two_parent_family,3
401,2,2,two_parent_family,4
402,0,3,two_parent_family,3
403,1,2,two_parent_family,3
404,2,2,two_parent_family,4
405,1,2,two_parent_family,3
406,2,2,two_parent_family,4
407,1,2,two_parent_family,3
408,3,2,two_parent_family,5
409,1,2,two_parent_family,3
410,1,2,two_parent_family,3
411,2,2,two_parent_family,4
412,1,3,two_parent_family,4
413,1,2,two_parent_family,3
414,2,2,two_parent_family,4
415,1,3,two_parent_family,4
416,3,2,two_parent_family,5
417,2,2,two_parent_family,4
418,0,5,two_parent_family,5
419,1,2,two_parent_family,3
420,3,2,two_parent_family,5
421,1,2,two_parent_family,3
422,1,2,two_parent_family,3
423,0,3,two_parent_family,3
424,0,3,two_parent_family,3
425,1,2,two_parent_family,3
426,2,2,two_parent_family,4
427,4,2,two_parent_family,6
428,3,3,two_parent_family,6
429,4,2,two_parent_family,6
430,0,4,two_parent_family,4
431,2,2,two_parent_family,4
432,2,2,two_parent_family,4
433,1,2,two_parent_family,3
434,2,2,two_parent_family,4
435,0,3,two_parent_family,3
436,2,2,two_parent_family,4
437,1,3,two_parent_family,4
438,1,2,two_parent_family,3
439,1,4,two_parent_family,5
440,1,2,two_parent_family,3
441,1,2,two_parent_family,3
442,3,2,two_parent_family,5
443,0,4,two_parent_family,4
444,0,3,two_parent_family,3
445,1,3,two_parent_family,4
446,0,3,two_parent_family,3
447,2,6,two_parent_family,8
448,1,6,two_parent_family,7
449,1,2,two_parent_family,3
450,1,2,two_parent_family,3
451,2,2,two_parent_family,4
452,5,2,two_parent_family,7
453,2,3,two_parent_family,5
454,2,6,two_parent_family,8
455,5,2,two_parent_family,7
456,0,3,two_parent_family,3
457,1,2,two_parent_family,3
458,0,4,two_parent_family,4
459,0,3,two_parent_family,3
460,1,2,two_parent_family,3
461,2,2,two_parent_family,4
462,3,2,two_parent_family,5
463,0,3,two_parent_family,3
464,2,2,two_parent_family,4
465,1,2,two_parent_family,3
466,3,2,two_parent_family,5
467,0,6,two_parent_family,6
468,3,2,two_parent_family,5
469,2,2,two_parent_family,4
470,0,3,two_parent_family,3
471,2,2,two_parent_family,4
472,1,2,two_parent_family,3
473,1,2,two_parent_family,3
474,2,2,two_parent_family,4
475,2,5,two_parent_family,7
476,2,2,two_parent_family,4
477,0,4,two_parent_family,4
478,1,2,two_parent_family,3
479,0,3,two_parent_family,3
480,0,3,two_parent_family,3
481,0,3,two_parent_family,3
482,4,2,two_parent_family,6
483,1,2,two_parent_family,3
484,1,2,two_parent_family,3
485,4,2,two_parent_family,6
486,2,2,two_parent_family,4
487,1,3,two_parent_family,4
488,1,2,two_parent_family,3
489,1,2,two_parent_family,3
490,2,2,two_parent_family,4
491,4,2,two_parent_family,6
492,3,2,two_parent_family,5
493,1,2,two_parent_family,3
494,2,2,two_parent_family,4
495,3,2,two_parent_family,5
496,0,3,two_parent_family,3
497,1,2,two_parent_family,3
498,1,2,two_parent_family,3
499,1,2,two_parent_family,3
500,0,3,two_parent_family,3
501,0,3,two_parent_family,3
502,3,2,two_parent_family,5
503,2,2,two_parent_family,4
504,1,2,two_parent_family,3
505,0,3,two_parent_family,3
506,1,2,two_parent_family,3
507,1,2,two_parent_family,3
508,0,3,two_parent_family,3
509,0,3,two_parent_family,3
510,0,3,two_parent_family,3
511,3,2,two_parent_family,5
512,1,3,two_parent_family,4
513,2,2,two_parent_family,4
514,1,2,two_parent_family,3
515,5,2,two_parent_family,7
516,2,2,two_parent_family,4
517,1,2,two_parent_family,3
518,1,2,two_parent_family,3
519,2,2,two_parent_family,4
520,1,2,two_parent_family,3
521,1,2,two_parent_family,3
522,1,2,two_parent_family,3
523,1,2,two_parent_family,3
524,0,5,two_parent_family,5
525,3,2,two_parent_family,5
526,1,2,two_parent_family,3
527,0,4,two_parent_family,4
528,2,2,two_parent_family,4
529,1,2,two_parent_family,3
530,3,2,two_parent_family,5
531,1,2,two_parent_family,3
532,0,3,two_parent_family,3
533,1,2,two_parent_family,3
534,0,3,two_parent_family,3
535,1,6,two_parent_family,7
536,2,2,two_parent_family,4
537,0,4,two_parent_family,4
538,2,2,two_parent_family,4
539,0,3,two_parent_family,3
540,4,2,two_parent_family,6
541,3,2,two_parent_family,5
542,3,2,two_parent_family,5
543,1,2,two_parent_family,3
544,0,3,two_parent_family,3
545,3,2,two_parent_family,5
546,2,6,two_parent_family,8
547,1,2,two_parent_family,3
548,0,3,two_parent_family,3
549,3,2,two_parent_family,5
550,2,4,two_parent_family,6
551,1,2,two_parent_family,3
552,1,4,two_parent_family,5
553,1,2,two_parent_family,3
554,1,2,two_parent_family,3
555,1,2,two_parent_family,3
556,1,2,two_parent_family,3
557,1,2,two_parent_family,3
558,1,3,two_parent_family,4
559,0,3,two_parent_family,3
560,1,2,two_parent_family,3
561,1,2,two_parent_family,3
562,3,2,two_parent_family,5
563,2,2,two_parent_family,4
564,3,4,two_parent_family,7
565,1,2,two_parent_family,3
566,2,2,two_parent_family,4
567,2,3,two_parent_family,5
568,2,2,two_parent_family,4
569,0,4,two_parent_family,4
570,4,2,two_parent_family,6
571,3,2,two_parent_family,5
572,1,2,two_parent_family,3
573,1,2,two_parent_family,3
574,1,2,two_parent_family,3
575,0,3,two_parent_family,3
576,0,6,two_parent_family,6
577,1,2,two_parent_family,3
578,0,3,two_parent_family,3
579,1,2,two_parent_family,3
580,1,2,two_parent_family,3
581,0,3,two_parent_family,3
582,1,2,two_parent_family,3
583,1,2,two_parent_family,3
584,0,3,two_parent_family,3
585,1,2,two_parent_family,3
586,0,3,two_parent_family,3
587,0,3,two_parent_family,3
588,2,2,two_parent_family,4
589,1,2,two_parent_family,3
590,4,2,two_parent_family,6
591,0,3,two_parent_family,3
592,2,2,two_parent_family,4
593,1,2,two_parent_family,3
594,3,2,two_parent_family,5
595,1,2,two_parent_family,3
596,0,3,two_parent_family,3
597,1,2,two_parent_family,3
598,1,3,two_parent_family,4
599,0,5,two_parent_family,5
600,1,2,two_parent_family,3
601,1,2,two_parent_family,3
602,2,2,two_parent_family,4
603,0,3,two_parent_family,3
604,2,2,two_parent_family,4
605,4,2,two_parent_family,6
606,1,2,two_parent_family,3
607,1,2,two_parent_family,3
608,0,3,two_parent_family,3
609,3,2,two_parent_family,5
610,0,5,two_parent_family,5
611,4,2,two_parent_family,6
612,1,2,two_parent_family,3
613,1,2,two_parent_family,3
614,1,2,two_parent_family,3
615,0,7,two_parent_family,7
616,0,3,two_parent_family,3
617,8,2,two_parent_family,10
618,2,2,two_parent_family,4
619,1,2,two_parent_family,3
620,1,3,two_parent_family,4
621,2,3,two_parent_family,5
622,1,2,two_parent_family,3
623,1,2,two_parent_family,3
624,2,2,two_parent_family,4
625,1,2,two_parent_family,3
626,9,2,two_parent_family,11
627,3,2,two_parent_family,5
628,2,2,two_parent_family,4
629,3,2,two_parent_family,5
630,1,2,two_parent_family,3
631,0,3,two_parent_family,3
632,2,2,two_parent_family,4
633,3,3,two_parent_family,6
634,2,2,two_parent_family,4
635,1,3,two_parent_family,4
636,0,4,two_parent_family,4
637,2,2,two_parent_family,4
638,0,3,two_parent_family,3
639,3,2,two_parent_family,5
640,0,3,two_parent_family,3
641,7,2,two_parent_family,9
642,0,3,two_parent_family,3
643,1,2,two_parent_family,3
644,1,2,two_parent_family,3
645,1,2,two_parent_family,3
646,5,2,two_parent_family,7
647,3,3,two_parent_family,6
648,1,3,two_parent_family,4
649,1,2,two_parent_family,3
650,1,2,two_parent_family,3
651,1,2,two_parent_family,3
652,0,3,two_parent_family,3
653,1,2,two_parent_family,3
654,3,2,two_parent_family,5
655,1,2,two_parent_family,3
656,0,3,two_parent_family,3
657,0,3,two_parent_family,3
658,1,2,two_parent_family,3
659,2,2,two_parent_family,4
660,2,2,two_parent_family,4
661,3,2,two_parent_family,5
662,0,3,two_parent_family,3
663,3,2,two_parent_family,5
664,1,2,two_parent_family,3
665,1,2,two_parent_family,3
666,0,3,two_parent_family,3
667,2,2,two_parent_family,4
668,3,2,two_parent_family,5
669,0,3,two_parent_family,3
670,2,2,two_parent_family,4
671,1,2,two_parent_family,3
672,1,2,two_parent_family,3
673,0,3,two_parent_family,3
674,0,3,two_parent_family,3
675,2,2,two_parent_family,4
676,4,2,two_parent_family,6
677,1,2,two_parent_family,3
678,0,4,two_parent_family,4
679,1,2,two_parent_family,3
680,1,2,two_parent_family,3
681,2,2,two_parent_family,4
682,1,2,two_parent_family,3
683,3,2,two_parent_family,5
684,3,2,two_parent_family,5
685,1,2,two_parent_family,3
686,1,2,two_parent_family,3
687,0,6,two_parent_family,6
688,1,2,two_parent_family,3
689,2,2,two_parent_family,4
690,1,2,two_parent_family,3
691,1,2,two_parent_family,3
692,1,2,two_parent_family,3
693,0,3,two_parent_family,3
694,1,2,two_parent_family,3
695,2,4,two_parent_family,6
696,0,3,two_parent_family,3
697,2,2,two_parent_family,4
698,1,2,two_parent_family,3
699,1,2,two_parent_family,3
700,3,2,two_parent_family,5
701,0,4,two_parent_family,4
702,2,2,two_parent_family,4
703,0,4,two_parent_family,4
704,1,2,two_parent_family,3
705,0,3,two_parent_family,3
706,0,3,two_parent_family,3
707,0,4,two_parent_family,4
708,1,2,two_parent_family,3
709,1,2,two_parent_family,3
710,2,2,two_parent_family,4
711,2,2,two_parent_family,4
712,4,2,two_parent_family,6
713,0,3,two_parent_family,3
714,2,2,two_parent_family,4
715,2,2,two_parent_family,4
716,1,2,two_parent_family,3
717,1,2,two_parent_family,3
718,3,2,two_parent_family,5
719,0,3,two_parent_family,3
720,1,2,two_parent_family,3
721,1,2,two_parent_family,3
722,1,2,two_parent_family,3
723,3,2,two_parent_family,5
724,1,2,two_parent_family,3
725,1,2,two_parent_family,3
726,2,2,two_parent_family,4
727,1,3,two_parent_family,4
728,1,3,two_parent_family,4
729,3,2,two_parent_family,5
730,3,2,two_parent_family,5
731,1,2,two_parent_family,3
732,3,2,two_parent_family,5
733,2,2,two_parent_family,4
734,1,2,two_parent_family,3
735,1,2,two_parent_family,3
736,3,2,two_parent_family,5
737,2,2,two_parent_family,4
738,2,2,two_parent_family,4
739,1,2,two_parent_family,3
740,1,2,two_parent_family,3
741,2,3,two_parent_family,5
742,1,2,two_parent_family,3
743,1,2,two_parent_family,3
744,1,2,two_parent_family,3
745,0,3,two_parent_family,3
746,0,3,two_parent_family,3
747,1,5,two_parent_family,6
748,2,2,two_parent_family,4
749,0,3,two_parent_family,3
750,1,2,two_parent_family,3
751,2,2,two_parent_family,4
752,2,4,two_parent_family,6
753,2,2,two_parent_family,4
754,0,3,two_parent_family,3
755,3,2,two_parent_family,5
756,1,2,two_parent_family,3
757,0,3,two_parent_family,3
758,0,4,two_parent_family,4
759,2,2,two_parent_family,4
760,1,2,two_parent_family,3
761,2,2,two_parent_family,4
762,3,2,two_parent_family,5
763,0,3,two_parent_family,3
764,0,4,two_parent_family,4
765,0,4,two_parent_family,4
766,1,2,two_parent_family,3
767,3,3,two_parent_family,6
768,0,3,two_parent_family,3
769,1,3,two_parent_family,4
770,1,2,two_parent_family,3
771,2,2,two_parent_family,4
772,1,2,two_parent_family,3
773,0,3,two_parent_family,3
774,0,4,two_parent_family,4
775,0,3,two_parent_family,3
776,1,2,two_parent_family,3
