household_id,adult_id,job_cat,pro_contacts,company_id
0,0,Indus_other,52,6.0
0,1,Hotel_Restaurant,114,21.0
1,2,Shops_other,14,45.0
1,3,Administration_schools,33,10.0
2,4,Services_other,770,34.0
2,5,Shops_other,5,1.0
2,6,,0,
3,7,Shops_other,9,20.0
3,8,Administration_schools,147,57.0
4,9,Services_other,273,68.0
4,10,Hotel_Restaurant,54,4.0
5,11,Construction,1,6.0
5,12,,0,
5,13,Indus_food,69,3.0
6,14,Indus_other,28,18.0
6,15,Administration_schools,26,29.0
6,16,Services_other,271,161.0
7,17,,0,
7,18,Health,138,1.0
8,19,Shops_other,12,109.0
8,20,Shops_other,15,62.0
9,21,,0,
9,22,Administration_schools,139,13.0
10,23,Health,17,6.0
10,24,Construction,1,19.0
11,25,Shops_other,1,13.0
11,26,,0,
12,27,Indus_food,37,9.0
12,28,Services_other,313,186.0
12,29,Health,286,6.0
13,30,Administration_schools,28,55.0
13,31,Construction,1,4.0
14,32,Administration_schools,116,16.0
14,33,Services_other,987,4.0
15,34,,0,
15,35,,0,
15,36,Indus_other,70,6.0
16,37,Shops_other,9,41.0
16,38,,0,
16,39,Services_other,986,137.0
17,40,Indus_other,36,19.0
17,41,Transportation,1486,0.0
18,42,,0,
18,43,Services_other,1382,83.0
19,44,Administration_schools,123,50.0
19,45,Services_other,1177,107.0
20,46,Administration_schools,67,54.0
20,47,,0,
21,48,,0,
21,49,Administration_schools,114,39.0
21,50,,0,
21,51,Indus_other,52,27.0
22,52,Health,202,2.0
22,53,,0,
23,54,,0,
23,55,Services_other,707,191.0
24,56,Administration_schools,138,3.0
24,57,Administration_schools,44,38.0
24,58,,0,
25,59,Administration_schools,71,2.0
25,60,Health,80,6.0
25,61,,0,
26,62,Administration_schools,143,60.0
26,63,Services_other,167,33.0
27,64,Services_other,310,208.0
27,65,Services_other,1074,136.0
27,66,,0,
28,67,,0,
28,68,,0,
29,69,Construction,1,5.0
29,70,Indus_other,62,17.0
30,71,Hotel_Restaurant,10,46.0
30,72,Health,72,4.0
30,73,,0,
31,74,Services_other,961,233.0
31,75,,0,
31,76,Administration_schools,75,13.0
32,77,Indus_other,62,34.0
32,78,Indus_other,43,21.0
32,79,,0,
33,80,Services_other,1145,93.0
33,81,Agriculture_fishing,1,29.0
34,82,,0,
34,83,Agriculture_fishing,1,59.0
34,84,Services_other,225,217.0
34,85,Shops_other,13,7.0
34,86,,0,
35,87,Services_other,1387,193.0
35,88,Administration_schools,30,24.0
35,89,,0,
36,90,Services_other,694,150.0
36,91,,0,
37,92,Health,131,4.0
37,93,,0,
38,94,,0,
38,95,,0,
39,96,Shops_other,13,74.0
39,97,Agriculture_fishing,2,5.0
39,98,Indus_other,21,18.0
40,99,,0,
40,100,Administration_schools,135,54.0
40,101,Shops_other,2,48.0
41,102,,0,
41,103,,0,
42,104,,0,
42,105,Services_other,891,146.0
43,106,Services_other,1324,82.0
43,107,Hotel_Restaurant,57,29.0
44,108,Shops_other,2,22.0
44,109,Indus_other,28,35.0
44,110,Services_other,761,164.0
44,111,Health,172,5.0
45,112,,0,
45,113,,0,
46,114,,0,
46,115,,0,
47,116,Transportation,336,6.0
47,117,Indus_other,33,35.0
48,118,Administration_schools,100,79.0
48,119,Administration_schools,27,60.0
49,120,Services_other,400,73.0
49,121,Shops_other,11,81.0
50,122,,0,
50,123,Indus_food,39,3.0
51,124,,0,
51,125,Services_other,732,139.0
51,126,Indus_other,18,30.0
52,127,,0,
52,128,Services_other,556,240.0
52,129,,0,
53,130,Shops_other,9,96.0
53,131,Shops_other,4,48.0
54,132,Administration_schools,22,18.0
54,133,Indus_other,61,18.0
55,134,Services_other,1138,94.0
55,135,Services_other,58,48.0
55,136,,0,
56,137,,0,
56,138,Transportation,499,16.0
57,139,Services_other,158,85.0
57,140,,0,
58,141,Transportation,1087,3.0
58,142,,0,
59,143,Indus_other,46,26.0
59,144,Administration_schools,10,7.0
60,145,,0,
60,146,Administration_schools,69,13.0
61,147,,0,
61,148,Shops_other,5,17.0
62,149,,0,
62,150,Construction,2,56.0
62,151,,0,
63,152,Services_other,403,81.0
63,153,Services_other,1029,13.0
64,154,Services_other,984,32.0
64,155,,0,
65,156,,0,
65,157,,0,
66,158,Construction,2,18.0
66,159,Hotel_Restaurant,130,20.0
67,160,Agriculture_fishing,2,28.0
67,161,Shops_other,6,92.0
68,162,Administration_schools,122,24.0
68,163,,0,
69,164,Shops_other,1,54.0
69,165,Shops_other,9,2.0
70,166,,0,
70,167,Shops_other,9,44.0
70,168,Services_other,416,237.0
70,169,,0,
71,170,,0,
71,171,,0,
72,172,,0,
72,173,Construction,0,39.0
73,174,Agriculture_fishing,1,73.0
73,175,,0,
74,176,,0,
74,177,Indus_other,58,9.0
75,178,,0,
75,179,Shops_other,3,41.0
76,180,,0,
76,181,Construction,3,58.0
77,182,Services_other,1158,197.0
77,183,Administration_schools,117,27.0
77,184,,0,
77,185,Agriculture_fishing,0,68.0
77,186,Administration_schools,105,41.0
77,187,,0,
77,188,Indus_food,55,9.0
78,189,Construction,3,4.0
78,190,,0,
78,191,Shops_other,2,40.0
79,192,Administration_schools,136,75.0
79,193,Health,218,3.0
79,194,Indus_food,51,0.0
79,195,Shops_other,1,90.0
80,196,Administration_schools,117,19.0
80,197,Administration_schools,43,9.0
81,198,Indus_other,30,2.0
81,199,,0,
81,200,,0,
82,201,,0,
82,202,Agriculture_fishing,2,3.0
83,203,Administration_schools,150,26.0
83,204,,0,
84,205,Services_other,415,144.0
84,206,Administration_schools,123,16.0
85,207,,0,
85,208,Transportation,1338,6.0
86,209,,0,
86,210,Services_other,1346,164.0
87,211,Administration_schools,125,41.0
87,212,Administration_schools,18,40.0
88,213,,0,
88,214,,0,
88,215,Services_other,771,100.0
89,216,Hotel_Restaurant,17,4.0
89,217,Administration_schools,87,5.0
89,218,,0,
90,219,Health,74,5.0
90,220,Administration_schools,66,70.0
91,221,Services_other,1130,139.0
91,222,Indus_food,24,10.0
91,223,,0,
92,224,Health,157,5.0
92,225,Health,272,5.0
92,226,Administration_schools,46,46.0
93,227,,0,
93,228,Services_other,495,200.0
94,229,Administration_schools,52,3.0
94,230,,0,
95,231,Transportation,1142,0.0
95,232,,0,
96,233,Administration_schools,32,44.0
96,234,Administration_schools,70,18.0
97,235,Services_other,169,138.0
97,236,Administration_schools,104,57.0
98,237,,0,
98,238,,0,
99,239,Indus_other,55,35.0
99,240,Shops_other,11,1.0
100,241,Administration_schools,50,77.0
100,242,,0,
101,243,Health,53,5.0
101,244,Construction,3,69.0
102,245,Construction,1,26.0
102,246,Administration_schools,69,66.0
103,247,Services_other,481,83.0
103,248,,0,
104,249,,0,
104,250,Transportation,477,2.0
105,251,Services_other,852,160.0
105,252,,0,
106,253,,0,
106,254,Indus_food,52,9.0
106,255,Services_other,839,248.0
107,256,Services_other,494,198.0
107,257,,0,
107,258,Shops_other,6,41.0
108,259,Indus_other,46,34.0
108,260,,0,
109,261,,0,
109,262,Services_other,307,92.0
110,263,,0,
110,264,Indus_food,62,10.0
111,265,Indus_other,56,23.0
111,266,,0,
112,267,Construction,3,75.0
112,268,,0,
113,269,,0,
113,270,Services_other,1085,128.0
114,271,,0,
114,272,Services_other,1467,179.0
114,273,Services_other,13,76.0
115,274,,0,
115,275,,0,
115,276,,0,
116,277,Administration_schools,11,48.0
116,278,Indus_other,44,40.0
116,279,,0,
116,280,Health,217,3.0
116,281,,0,
116,282,Administration_schools,35,36.0
117,283,Services_other,895,95.0
117,284,,0,
117,285,Services_other,124,86.0
118,286,Administration_schools,39,14.0
118,287,,0,
118,288,Administration_schools,131,22.0
119,289,,0,
119,290,Administration_schools,51,75.0
120,291,,0,
120,292,,0,
121,293,,0,
121,294,,0,
122,295,Health,66,6.0
122,296,Shops_other,8,43.0
123,297,Shops_other,5,68.0
123,298,Transportation,311,1.0
124,299,Agriculture_fishing,1,48.0
124,300,Indus_other,60,20.0
124,301,Administration_schools,8,63.0
125,302,,0,
125,303,Shops_other,9,15.0
126,304,,0,
126,305,Shops_other,2,86.0
127,306,Health,201,0.0
127,307,,0,
127,308,Construction,0,60.0
128,309,Health,245,8.0
128,310,Administration_schools,122,18.0
129,311,Services_other,848,79.0
129,312,Transportation,449,12.0
130,313,Administration_schools,26,11.0
130,314,Shops_other,10,66.0
131,315,,0,
131,316,Administration_schools,56,58.0
132,317,Administration_schools,132,40.0
132,318,Health,131,1.0
133,319,Administration_schools,126,67.0
133,320,Indus_other,66,9.0
134,321,,0,
134,322,Shops_other,7,90.0
135,323,Services_other,804,177.0
